date,time,last_price,change_percent
2024-03-06,17:09:40, 601.69, 0.73
2024-03-06,17:10:40, 601.8, 0.75
2024-03-06,17:11:40, 601.69, 0.73
2024-03-06,17:12:40, 601.81, 0.75
2024-03-06,17:13:40, 601.86, 0.76
2024-03-06,17:14:40, 601.99, 0.78
2024-03-06,17:15:40, 602.0, 0.78
2024-03-06,17:16:40, 601.96, 0.77
2024-03-06,17:17:40, 602.17, 0.81
2024-03-06,17:18:40, 602.2, 0.81
